127.0.0.1 - - [03/Oct/2018:12:48:22 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [03/Oct/2018:12:48:23 +0900] "GET /team5/home.do HTTP/1.1" 200 2918
0:0:0:0:0:0:0:1 - - [03/Oct/2018:12:48:23 +0900] "GET /team5/script/home/home.js;jsessionid=DC924D94CCF4812B6AAD9291E025C74C HTTP/1.1" 200 4768
0:0:0:0:0:0:0:1 - - [03/Oct/2018:12:48:23 +0900] "GET /team5/css/home/homepage.css;jsessionid=DC924D94CCF4812B6AAD9291E025C74C HTTP/1.1" 200 3716
0:0:0:0:0:0:0:1 - - [03/Oct/2018:12:48:24 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [03/Oct/2018:12:48:28 +0900] "POST /team5/id-check.do HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [03/Oct/2018:12:48:33 +0900] "POST /team5/id-check.do HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [03/Oct/2018:12:48:50 +0900] "POST /team5/id-check.do HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [03/Oct/2018:12:48:55 +0900] "POST /team5/id-check.do HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [03/Oct/2018:12:48:59 +0900] "POST /team5/signup.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Oct/2018:12:48:59 +0900] "GET /team5/home.do HTTP/1.1" 200 2786
0:0:0:0:0:0:0:1 - - [03/Oct/2018:12:48:59 +0900] "GET /team5/css/home/homepage.css HTTP/1.1" 200 3716
0:0:0:0:0:0:0:1 - - [03/Oct/2018:12:48:59 +0900] "GET /team5/script/home/home.js HTTP/1.1" 200 4768
0:0:0:0:0:0:0:1 - - [03/Oct/2018:12:49:00 +0900] "GET /team5/img/background.jpg HTTP/1.1" 200 137120
0:0:0:0:0:0:0:1 - - [03/Oct/2018:12:49:05 +0900] "POST /team5/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Oct/2018:12:49:07 +0900] "GET /team5/main.do HTTP/1.1" 200 22857
0:0:0:0:0:0:0:1 - - [03/Oct/2018:12:49:07 +0900] "GET /img/catch1.png HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [03/Oct/2018:12:49:07 +0900] "GET /img/gamsung.jpg HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [03/Oct/2018:12:49:07 +0900] "GET /team5/css/main/mainMenu.css HTTP/1.1" 200 1750
0:0:0:0:0:0:0:1 - - [03/Oct/2018:12:49:07 +0900] "GET /team5/css/main/main.css HTTP/1.1" 200 2877
0:0:0:0:0:0:0:1 - - [03/Oct/2018:12:49:07 +0900] "GET /team5/css/main/fb-style-feeds-element.css HTTP/1.1" 200 20765
0:0:0:0:0:0:0:1 - - [03/Oct/2018:12:49:08 +0900] "GET /team5/feed HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [03/Oct/2018:12:49:48 +0900] "POST /team5/write.do HTTP/1.1" 500 4834
0:0:0:0:0:0:0:1 - - [03/Oct/2018:12:49:52 +0900] "GET /team5/main.do HTTP/1.1" 200 22857
0:0:0:0:0:0:0:1 - - [03/Oct/2018:12:49:52 +0900] "GET /team5/css/main/mainMenu.css HTTP/1.1" 200 1750
0:0:0:0:0:0:0:1 - - [03/Oct/2018:12:49:52 +0900] "GET /team5/css/main/main.css HTTP/1.1" 200 2877
0:0:0:0:0:0:0:1 - - [03/Oct/2018:12:49:52 +0900] "GET /team5/css/main/fb-style-feeds-element.css HTTP/1.1" 200 20765
0:0:0:0:0:0:0:1 - - [03/Oct/2018:12:49:52 +0900] "GET /img/catch1.png HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [03/Oct/2018:12:49:52 +0900] "GET /img/gamsung.jpg HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [03/Oct/2018:12:49:54 +0900] "GET /team5/feed HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [03/Oct/2018:12:51:55 +0900] "GET /team5/updateuserform.do HTTP/1.1" 200 7378
0:0:0:0:0:0:0:1 - - [03/Oct/2018:12:51:55 +0900] "GET /team5/css/main/mainMenu.css HTTP/1.1" 200 1750
0:0:0:0:0:0:0:1 - - [03/Oct/2018:12:51:56 +0900] "GET /team5/css/member/updateuser.css HTTP/1.1" 200 2825
0:0:0:0:0:0:0:1 - - [03/Oct/2018:12:51:56 +0900] "GET /team5/script/member/updateuser.js HTTP/1.1" 200 2951
0:0:0:0:0:0:0:1 - - [03/Oct/2018:12:51:57 +0900] "GET /team5/img/upload/ HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [03/Oct/2018:12:58:44 +0900] "GET /team5/updateuserform.do HTTP/1.1" 200 7378
0:0:0:0:0:0:0:1 - - [03/Oct/2018:12:58:44 +0900] "GET /team5/css/main/mainMenu.css HTTP/1.1" 200 1750
0:0:0:0:0:0:0:1 - - [03/Oct/2018:12:58:44 +0900] "GET /team5/css/member/updateuser.css HTTP/1.1" 200 2825
0:0:0:0:0:0:0:1 - - [03/Oct/2018:12:58:44 +0900] "GET /team5/script/member/updateuser.js HTTP/1.1" 200 2951
0:0:0:0:0:0:0:1 - - [03/Oct/2018:12:58:45 +0900] "GET /team5/img/upload/ HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [03/Oct/2018:12:58:53 +0900] "GET /team5/logout.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Oct/2018:12:58:53 +0900] "GET /team5/home.do HTTP/1.1" 200 2786
0:0:0:0:0:0:0:1 - - [03/Oct/2018:12:58:54 +0900] "GET /team5/updateuserform.do HTTP/1.1" 500 1433
0:0:0:0:0:0:0:1 - - [03/Oct/2018:12:58:58 +0900] "POST /team5/login.do HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [03/Oct/2018:12:59:00 +0900] "GET /team5/home.do HTTP/1.1" 200 2786
